"","date","stream","mean.daily.q","min.daily.q","max.daily.q","sd.daily.q","mean.daily.t","min.daily.t","max.daily.t","sd.daily.t"
"1",2018-03-28,"towr",3.75198994035679,3.69570614455391,3.80947095060438,0.0240784572012271,9.37434027777778,8.02,11.03,0.909128453975836
"2",2018-03-28,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"3",2018-03-29,"towr",4.24320954151292,3.62265938010278,7.89849393003412,1.24682954117732,10.4000347222222,9.63,11.39,0.545900463329477
"4",2018-03-29,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"5",2018-03-30,"towr",4.106023658014,3.75676675775177,5.19073703228135,0.293714304271417,10.2380902777778,9.13,11.15,0.494135819233336
"6",2018-03-30,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"7",2018-03-31,"towr",3.68863597485745,3.63319036740982,3.78991145659214,0.0390745555531309,9.11993055555556,7.9,10.68,0.795065352673158
"8",2018-03-31,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"9",2018-04-01,"towr",3.61670151427895,3.5721165590785,3.66102133959229,0.020248161440509,9.44204861111111,7.9,11.06,1.08839441783691
"10",2018-04-01,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"11",2018-04-02,"towr",3.56227913468874,3.47764412159793,3.64373543006563,0.0414452274913225,10.5580208333333,9.4,12.29,0.890315239701813
"12",2018-04-02,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"13",2018-04-03,"towr",3.47259097254599,3.42804684632102,3.51151985786277,0.0191717971844025,11.0115972222222,9.71,12.67,0.951942567876766
"14",2018-04-03,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"15",2018-04-04,"towr",3.63853392613242,3.28122609569692,6.11295824844982,0.561768126374798,10.7629166666667,9,11.8,0.793357769560901
"16",2018-04-04,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"17",2018-04-05,"towr",3.24799374584356,3.19220887372279,3.29403483464119,0.0241157849940629,9.11583333333333,7.77,10.61,0.891401824399947
"18",2018-04-05,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"19",2018-04-06,"towr",3.34405467484879,3.1642852302087,4.5528432864198,0.250201293400755,9.17309027777778,8.17,10.15,0.602275446183788
"20",2018-04-06,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"21",2018-04-07,"towr",4.16410151889327,3.55597399963483,5.23712348960292,0.525489022667099,9.74253472222222,9.01,10.59,0.365953718693644
"22",2018-04-07,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"23",2018-04-08,"towr",3.40510120291795,3.32247879956755,3.56831528084325,0.0625251310674242,8.86309027777778,8.15,9.83,0.475047584826404
"24",2018-04-08,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"25",2018-04-09,"towr",3.31197032345247,3.15081435765732,3.51906833172768,0.0893659890415231,8.92013888888889,8.48,9.58,0.359210295498045
"26",2018-04-09,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"27",2018-04-10,"towr",3.1329856429658,3.08918940802706,3.18138631976809,0.018847366638818,9.30947916666667,8.46,10.91,0.80454636270303
"28",2018-04-10,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"29",2018-04-11,"towr",3.03560952902915,2.97198860835274,3.10699401663398,0.0273437941573086,9.03076388888889,7.62,10.66,0.963510986657243
"30",2018-04-11,"ws55",NA,Inf,-Inf,NA,NA,NA,-Inf,NA
"31",2018-04-12,"towr",2.97917668688616,2.92760112768881,3.02020196186728,0.0198829380921262,9.58815972222222,7.98,11.39,1.14343105637012
